Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - Session 3: importing and reshaping data,4,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Panelist,Yes,No,Yes,1:57 pm GMT,3:56 pm GMT,119.0 mins,91%,100%
Master the tidyverse - Session 3: importing and reshaping data,43,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Panelist,Yes,No,Yes,1:55 pm GMT,3:56 pm GMT,121.0 mins,93%,100%
Master the tidyverse - Session 3: importing and reshaping data,119,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Panelist,Yes,No,Yes,2:00 pm GMT,3:56 pm GMT,116.0 mins,89%,100%
Master the tidyverse - Session 3: importing and reshaping data,59,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Panelist,Yes,No,Yes,3:03 pm GMT,3:57 pm GMT,53.0 mins,41%,100%
Master the tidyverse - Session 3: importing and reshaping data,2,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:14 pm GMT,3:56 pm GMT,101.0 mins,9%,12%
Master the tidyverse - Session 3: importing and reshaping data,124,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,3:19 pm GMT,3:56 pm GMT,36.0 mins,11%,40%
Master the tidyverse - Session 3: importing and reshaping data,124,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:00 pm GMT,3:19 pm GMT,79.0 mins,8%,14%
Master the tidyverse - Session 3: importing and reshaping data,126,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:57 pm GMT,113.0 mins,15%,17%
Master the tidyverse - Session 3: importing and reshaping data,5,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:12 pm GMT,3:57 pm GMT,105.0 mins,9%,11%
Master the tidyverse - Session 3: importing and reshaping data,21,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:01 pm GMT,3:57 pm GMT,115.0 mins,10%,12%
Master the tidyverse - Session 3: importing and reshaping data,105,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:17 pm GMT,3:56 pm GMT,99.0 mins,1%,1%
Master the tidyverse - Session 3: importing and reshaping data,111,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,3:05 pm GMT,3:57 pm GMT,51.0 mins,6%,15%
Master the tidyverse - Session 3: importing and reshaping data,111,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:56 pm GMT,113.0 mins,86%,100%
Master the tidyverse - Session 3: importing and reshaping data,14,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:20 pm GMT,3:56 pm GMT,96.0 mins,2%,2%
Master the tidyverse - Session 3: importing and reshaping data,77,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:19 pm GMT,3:57 pm GMT,98.0 mins,11%,15%
Master the tidyverse - Session 3: importing and reshaping data,127,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:43 pm GMT,3:56 pm GMT,73.0 mins,1%,2%
Master the tidyverse - Session 3: importing and reshaping data,92,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:00 pm GMT,3:56 pm GMT,116.0 mins,17%,19%
Master the tidyverse - Session 3: importing and reshaping data,114,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:40 pm GMT,3:55 pm GMT,75.0 mins,8%,14%
Master the tidyverse - Session 3: importing and reshaping data,122,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:01 pm GMT,3:56 pm GMT,114.0 mins,61%,69%
Master the tidyverse - Session 3: importing and reshaping data,65,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,1:59 pm GMT,3:57 pm GMT,117.0 mins,23%,25%
Master the tidyverse - Session 3: importing and reshaping data,58,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,1:56 pm GMT,3:50 pm GMT,114.0 mins,9%,10%
Master the tidyverse - Session 3: importing and reshaping data,116,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:02 pm GMT,3:57 pm GMT,114.0 mins,87%,100%
Master the tidyverse - Session 3: importing and reshaping data,94,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,1:55 pm GMT,2:23 pm GMT,27.0 mins,21%,100%
Master the tidyverse - Session 3: importing and reshaping data,68,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,3:38 pm GMT,3:57 pm GMT,18.0 mins,14%,100%
Master the tidyverse - Session 3: importing and reshaping data,68,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,3:30 pm GMT,3:35 pm GMT,5.0 mins,4%,100%
Master the tidyverse - Session 3: importing and reshaping data,20,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:07 pm GMT,3:25 pm GMT,77.0 mins,36%,61%
Master the tidyverse - Session 3: importing and reshaping data,118,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:01 pm GMT,3:56 pm GMT,115.0 mins,50%,57%
Master the tidyverse - Session 3: importing and reshaping data,25,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:09 pm GMT,3:56 pm GMT,107.0 mins,47%,58%
Master the tidyverse - Session 3: importing and reshaping data,82,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,1:59 pm GMT,3:56 pm GMT,116.0 mins,66%,74%
Master the tidyverse - Session 3: importing and reshaping data,107,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:56 pm GMT,113.0 mins,86%,100%
Master the tidyverse - Session 3: importing and reshaping data,70,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,3:00 pm GMT,3:57 pm GMT,56.0 mins,43%,100%
Master the tidyverse - Session 3: importing and reshaping data,93,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,1:59 pm GMT,3:56 pm GMT,117.0 mins,59%,66%
Master the tidyverse - Session 3: importing and reshaping data,103,"January 31, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,3:57 pm GMT,131.0 mins,Attendee,No,No,Yes,2:25 pm GMT,3:56 pm GMT,91.0 mins,16%,23%
