Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 5: iteration and tidying model output,41,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Panelist,Yes,No,Yes,1:59 pm GMT,4:42 pm GMT,162.0 mins,92%,100%
Master the tidyverse - session 5: iteration and tidying model output,61,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Panelist,Yes,No,Yes,3:41 pm GMT,4:41 pm GMT,60.0 mins,34%,100%
Master the tidyverse - session 5: iteration and tidying model output,110,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Panelist,Yes,No,Yes,2:02 pm GMT,4:41 pm GMT,159.0 mins,90%,100%
Master the tidyverse - session 5: iteration and tidying model output,23,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:37 pm GMT,153.0 mins,17%,20%
Master the tidyverse - session 5: iteration and tidying model output,81,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:35 pm GMT,154.0 mins,19%,21%
Master the tidyverse - session 5: iteration and tidying model output,5,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,3:02 pm GMT,4:42 pm GMT,100.0 mins,10%,17%
Master the tidyverse - session 5: iteration and tidying model output,6,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:19 pm GMT,4:42 pm GMT,142.0 mins,12%,15%
Master the tidyverse - session 5: iteration and tidying model output,105,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:11 pm GMT,2:27 pm GMT,15.0 mins,3%,35%
Master the tidyverse - session 5: iteration and tidying model output,107,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,3:28 pm GMT,4:30 pm GMT,62.0 mins,5%,15%
Master the tidyverse - session 5: iteration and tidying model output,107,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:20 pm GMT,3:00 pm GMT,40.0 mins,16%,70%
Master the tidyverse - session 5: iteration and tidying model output,37,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:07 pm GMT,2:55 pm GMT,47.0 mins,24%,87%
Master the tidyverse - session 5: iteration and tidying model output,75,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:42 pm GMT,161.0 mins,12%,14%
Master the tidyverse - session 5: iteration and tidying model output,75,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:42 pm GMT,163.0 mins,93%,100%
Master the tidyverse - session 5: iteration and tidying model output,122,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:42 pm GMT,156.0 mins,9%,11%
Master the tidyverse - session 5: iteration and tidying model output,47,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:41 pm GMT,159.0 mins,10%,11%
Master the tidyverse - session 5: iteration and tidying model output,47,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:01 pm GMT,2:02 pm GMT,1.0 min,1%,100%
Master the tidyverse - session 5: iteration and tidying model output,44,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:41 pm GMT,4:41 pm GMT,119.0 mins,37%,55%
Master the tidyverse - session 5: iteration and tidying model output,106,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:21 pm GMT,4:42 pm GMT,141.0 mins,77%,96%
Master the tidyverse - session 5: iteration and tidying model output,86,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:10 pm GMT,4:42 pm GMT,151.0 mins,5%,6%
Master the tidyverse - session 5: iteration and tidying model output,1,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:00 pm GMT,119.0 mins,54%,80%
Master the tidyverse - session 5: iteration and tidying model output,94,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:13 pm GMT,4:41 pm GMT,147.0 mins,3%,4%
Master the tidyverse - session 5: iteration and tidying model output,22,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:42 pm GMT,161.0 mins,63%,69%
Master the tidyverse - session 5: iteration and tidying model output,85,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:41 pm GMT,158.0 mins,13%,14%
Master the tidyverse - session 5: iteration and tidying model output,98,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,3:55 pm GMT,3:55 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 5: iteration and tidying model output,98,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:20 pm GMT,4:41 pm GMT,141.0 mins,12%,15%
Master the tidyverse - session 5: iteration and tidying model output,98,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:19 pm GMT,3:19 pm GMT,60.0 mins,34%,100%
Master the tidyverse - session 5: iteration and tidying model output,14,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:52 pm GMT,4:42 pm GMT,110.0 mins,43%,68%
Master the tidyverse - session 5: iteration and tidying model output,92,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:17 pm GMT,4:42 pm GMT,145.0 mins,48%,58%
Master the tidyverse - session 5: iteration and tidying model output,67,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,2:04 pm GMT,2:16 pm GMT,11.0 mins,4%,66%
Master the tidyverse - session 5: iteration and tidying model output,67,"February 14, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:46 pm GMT,4:42 pm GMT,176.0 mins,Attendee,No,No,Yes,1:52 pm GMT,2:03 pm GMT,11.0 mins,1%,12%
