Event Name,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**,attendeeID
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:36 pm GMT,155.0 mins,77%,83%,254
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:25 pm GMT,4:36 pm GMT,130.0 mins,10%,13%,680
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:13 pm GMT,4:32 pm GMT,139.0 mins,27%,33%,777
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:58 pm GMT,4:35 pm GMT,36.0 mins,1%,5%,586
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,151.0 mins,24%,26%,717
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:46 pm GMT,4:32 pm GMT,46.0 mins,27%,100%,410
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:12 pm GMT,3:46 pm GMT,94.0 mins,56%,100%,410
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:36 pm GMT,154.0 mins,5%,6%,396
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,3:05 pm GMT,65.0 mins,3%,7%,753
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:36 pm GMT,154.0 mins,17%,19%,90
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:47 pm GMT,4:35 pm GMT,167.0 mins,73%,74%,129
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:17 pm GMT,4:35 pm GMT,137.0 mins,2%,2%,349
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:55 pm GMT,4:32 pm GMT,157.0 mins,77%,82%,315
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:55 pm GMT,4:36 pm GMT,161.0 mins,95%,100%,315
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:34 pm GMT,151.0 mins,11%,12%,433
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,4:33 pm GMT,149.0 mins,13%,15%,310
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:32 pm GMT,147.0 mins,33%,38%,334
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:43 pm GMT,4:07 pm GMT,84.0 mins,9%,17%,665
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:28 pm GMT,3:48 pm GMT,79.0 mins,47%,100%,665
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:06 pm GMT,4:32 pm GMT,86.0 mins,1%,2%,16
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,3:19 pm GMT,77.0 mins,3%,6%,58
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,4:18 pm GMT,4:32 pm GMT,14.0 mins,1%,8%,746
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:08 pm GMT,3:40 pm GMT,91.0 mins,8%,15%,516
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,152.0 mins,57%,63%,368
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:04 pm GMT,4:36 pm GMT,91.0 mins,48%,89%,226
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:58 pm GMT,4:33 pm GMT,154.0 mins,69%,75%,418
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:25 pm GMT,4:36 pm GMT,130.0 mins,25%,33%,235
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:24 pm GMT,2:25 pm GMT,1.0 min,0%,100%,235
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,4:20 pm GMT,4:34 pm GMT,13.0 mins,8%,100%,119
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,3:59 pm GMT,115.0 mins,51%,74%,119
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:32 pm GMT,145.0 mins,8%,9%,280
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:59 pm GMT,4:35 pm GMT,156.0 mins,14%,15%,492
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:40 pm GMT,3:56 pm GMT,75.0 mins,2%,3%,782
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,42%,47%,70
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:33 pm GMT,151.0 mins,19%,21%,109
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,3:03 pm GMT,3:34 pm GMT,30.0 mins,15%,81%,417
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:32 pm GMT,152.0 mins,35%,39%,560
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:06 pm GMT,4:36 pm GMT,150.0 mins,4%,5%,176
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,4:33 pm GMT,149.0 mins,73%,82%,555
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:01 pm GMT,4:32 pm GMT,151.0 mins,7%,7%,321
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:29 pm GMT,2:59 pm GMT,30.0 mins,1%,4%,677
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,2:08 pm GMT,4.0 mins,0%,1%,701
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,4:32 pm GMT,147.0 mins,18%,21%,462
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,1:48 pm GMT,4:36 pm GMT,167.0 mins,7%,7%,737
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:07 pm GMT,4:32 pm GMT,145.0 mins,51%,59%,455
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:33 pm GMT,152.0 mins,69%,76%,201
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:05 pm GMT,3:59 pm GMT,113.0 mins,8%,11%,599
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:32 pm GMT,150.0 mins,87%,97%,772
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:12 pm GMT,4:33 pm GMT,140.0 mins,2%,3%,80
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:33 pm GMT,151.0 mins,2%,3%,155
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:36 pm GMT,4:32 pm GMT,116.0 mins,9%,12%,639
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:36 pm GMT,152.0 mins,40%,44%,198
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,3:00 pm GMT,56.0 mins,2%,5%,262
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,2:04 pm GMT,2:06 pm GMT,2.0 mins,0%,0%,771
Master the tidyverse - session 4: data types,"February 7, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:47 pm GMT,4:36 pm GMT,168.0 mins,Attendee,No,No,Yes,4:05 pm GMT,4:31 pm GMT,25.0 mins,8%,50%,476
