Event Name,AttendeeID,Event Start Date,Event Scheduled Start Time,Event Scheduled End Time,Event/Recording Scheduled Duration,Event Actual Start Time,Event Actual End Time,Event/Recording Actual Duration,User Type,Invited,Registered,Attended,Join Time,Leave Time,Attendance Duration,Attention to Duration ratio*,Attention to Attendance ratio**
Master the tidyverse - session 1: introduction and ggplot2,210,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:53 pm GMT,170.0 mins,84%,96%
Master the tidyverse - session 1: introduction and ggplot2,129,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,4:13 pm GMT,4:30 pm GMT,16.0 mins,9%,100%
Master the tidyverse - session 1: introduction and ggplot2,129,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,4:11 pm GMT,4:12 pm GMT,1.0 min,0%,100%
Master the tidyverse - session 1: introduction and ggplot2,114,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:20 pm GMT,4:07 pm GMT,107.0 mins,4%,8%
Master the tidyverse - session 1: introduction and ggplot2,114,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:16 pm GMT,2:19 pm GMT,3.0 mins,2%,100%
Master the tidyverse - session 1: introduction and ggplot2,71,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:02 pm GMT,4:45 pm GMT,163.0 mins,2%,3%
Master the tidyverse - session 1: introduction and ggplot2,84,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:09 pm GMT,3:50 pm GMT,100.0 mins,23%,45%
Master the tidyverse - session 1: introduction and ggplot2,57,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,4:38 pm GMT,157.0 mins,34%,43%
Master the tidyverse - session 1: introduction and ggplot2,194,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:00 pm GMT,3:00 pm GMT,59.0 mins,2%,6%
Master the tidyverse - session 1: introduction and ggplot2,134,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,3:05 pm GMT,4:40 pm GMT,94.0 mins,16%,34%
Master the tidyverse - session 1: introduction and ggplot2,134,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:52 pm GMT,3:02 pm GMT,70.0 mins,6%,16%
Master the tidyverse - session 1: introduction and ggplot2,234,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:12 pm GMT,3:29 pm GMT,77.0 mins,8%,21%
Master the tidyverse - session 1: introduction and ggplot2,192,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:37 pm GMT,4:58 pm GMT,140.0 mins,8%,12%
Master the tidyverse - session 1: introduction and ggplot2,148,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,4:31 pm GMT,4:43 pm GMT,12.0 mins,5%,84%
Master the tidyverse - session 1: introduction and ggplot2,216,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:19 pm GMT,4:58 pm GMT,158.0 mins,4%,5%
Master the tidyverse - session 1: introduction and ggplot2,43,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,1:58 pm GMT,4:46 pm GMT,167.0 mins,57%,67%
Master the tidyverse - session 1: introduction and ggplot2,101,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:03 pm GMT,4:40 pm GMT,156.0 mins,48%,60%
Master the tidyverse - session 1: introduction and ggplot2,224,"January 17, 2020 GMT",2:00 pm GMT,5:15 pm GMT,195.0 mins,1:41 pm GMT,4:58 pm GMT,196.0 mins,Attendee,No,No,Yes,2:11 pm GMT,4:30 pm GMT,139.0 mins,21%,29%
